Fuel,Pathway Name,Pathway Description,Region,Number,Year,Cost [$/tonne],Emissions [kg CO2e / kg fuel],Details,Model(s) or publications,Results Produced by,Comment
ammonia,LTE_grid,,Belgium,1,2024,1.86E+03,1.39E+00,https://docs.google.com/spreadsheets/d/1uEJaRDQZnTVvMw1-XqN8fl7XEj3xhUSk/edit?gid=1002378938#gid=1002378938,H2A,Christopher Douglas,Liquid cryogenic ammonia at atmospheric pressure
ammonia,LTE_grid,,France,1,2024,2.21E+03,5.63E-01,https://docs.google.com/spreadsheets/d/1uEJaRDQZnTVvMw1-XqN8fl7XEj3xhUSk/edit?gid=1002378938#gid=1002378938,H2A,Christopher Douglas,Liquid cryogenic ammonia at atmospheric pressure
ammonia,LTE_grid,,Germany,1,2024,3.02E+03,3.83E+00,https://docs.google.com/spreadsheets/d/1uEJaRDQZnTVvMw1-XqN8fl7XEj3xhUSk/edit?gid=1002378938#gid=1002378938,H2A,Christopher Douglas,Liquid cryogenic ammonia at atmospheric pressure
ammonia,LTE_grid,,Italy,1,2024,5.01E+03,3.33E+00,https://docs.google.com/spreadsheets/d/1uEJaRDQZnTVvMw1-XqN8fl7XEj3xhUSk/edit?gid=1002378938#gid=1002378938,H2A,Christopher Douglas,Liquid cryogenic ammonia at atmospheric pressure
ammonia,LTE_grid,,Netherlands,1,2024,2.74E+03,2.69E+00,https://docs.google.com/spreadsheets/d/1uEJaRDQZnTVvMw1-XqN8fl7XEj3xhUSk/edit?gid=1002378938#gid=1002378938,H2A,Christopher Douglas,Liquid cryogenic ammonia at atmospheric pressure
ammonia,LTE_grid,,Spain,1,2024,1.70E+03,1.75E+00,https://docs.google.com/spreadsheets/d/1uEJaRDQZnTVvMw1-XqN8fl7XEj3xhUSk/edit?gid=1002378938#gid=1002378938,H2A,Christopher Douglas,Liquid cryogenic ammonia at atmospheric pressure
ammonia,LTE_grid,,United Kingdom,1,2024,1.51E+03,2.39E+00,https://docs.google.com/spreadsheets/d/1uEJaRDQZnTVvMw1-XqN8fl7XEj3xhUSk/edit?gid=1002378938#gid=1002378938,H2A,Christopher Douglas,Liquid cryogenic ammonia at atmospheric pressure
ammonia,LTE_grid,,Czech Republic,1,2024,1.81E+03,5.37E+00,https://docs.google.com/spreadsheets/d/1uEJaRDQZnTVvMw1-XqN8fl7XEj3xhUSk/edit?gid=1002378938#gid=1002378938,H2A,Christopher Douglas,Liquid cryogenic ammonia at atmospheric pressure
ammonia,LTE_grid,,Finland,1,2024,1.61E+03,7.94E-01,https://docs.google.com/spreadsheets/d/1uEJaRDQZnTVvMw1-XqN8fl7XEj3xhUSk/edit?gid=1002378938#gid=1002378938,H2A,Christopher Douglas,Liquid cryogenic ammonia at atmospheric pressure
ammonia,LTE_grid,,Hungary,1,2024,1.85E+03,2.05E+00,https://docs.google.com/spreadsheets/d/1uEJaRDQZnTVvMw1-XqN8fl7XEj3xhUSk/edit?gid=1002378938#gid=1002378938,H2A,Christopher Douglas,Liquid cryogenic ammonia at atmospheric pressure
ammonia,LTE_grid,,Norway,1,2024,1.60E+03,3.02E-01,https://docs.google.com/spreadsheets/d/1uEJaRDQZnTVvMw1-XqN8fl7XEj3xhUSk/edit?gid=1002378938#gid=1002378938,H2A,Christopher Douglas,Liquid cryogenic ammonia at atmospheric pressure
ammonia,LTE_grid,,Poland,1,2024,5.81E+03,6.65E+00,https://docs.google.com/spreadsheets/d/1uEJaRDQZnTVvMw1-XqN8fl7XEj3xhUSk/edit?gid=1002378938#gid=1002378938,H2A,Christopher Douglas,Liquid cryogenic ammonia at atmospheric pressure
ammonia,LTE_grid,,Sweden,1,2024,1.14E+03,4.12E-01,https://docs.google.com/spreadsheets/d/1uEJaRDQZnTVvMw1-XqN8fl7XEj3xhUSk/edit?gid=1002378938#gid=1002378938,H2A,Christopher Douglas,Liquid cryogenic ammonia at atmospheric pressure
ammonia,LTE_grid,,Oman,1,2024,2.49E+03,5.68E+00,https://docs.google.com/spreadsheets/d/1uEJaRDQZnTVvMw1-XqN8fl7XEj3xhUSk/edit?gid=1002378938#gid=1002378938,H2A,Christopher Douglas,Liquid cryogenic ammonia at atmospheric pressure
ammonia,LTE_grid,,United Arab Emirates,1,2024,1.36E+03,4.67E+00,https://docs.google.com/spreadsheets/d/1uEJaRDQZnTVvMw1-XqN8fl7XEj3xhUSk/edit?gid=1002378938#gid=1002378938,H2A,Christopher Douglas,Liquid cryogenic ammonia at atmospheric pressure
ammonia,LTE_grid,,Malaysia,1,2024,1.54E+03,1.06E+00,https://docs.google.com/spreadsheets/d/1uEJaRDQZnTVvMw1-XqN8fl7XEj3xhUSk/edit?gid=1002378938#gid=1002378938,H2A,Christopher Douglas,Liquid cryogenic ammonia at atmospheric pressure
ammonia,LTE_grid,,Saudi Arabia,1,2024,9.35E+02,4.43E+00,https://docs.google.com/spreadsheets/d/1uEJaRDQZnTVvMw1-XqN8fl7XEj3xhUSk/edit?gid=1002378938#gid=1002378938,H2A,Christopher Douglas,Liquid cryogenic ammonia at atmospheric pressure
ammonia,LTE_grid,,Greece,1,2024,2.60E+03,3.39E+00,https://docs.google.com/spreadsheets/d/1uEJaRDQZnTVvMw1-XqN8fl7XEj3xhUSk/edit?gid=1002378938#gid=1002378938,H2A,Christopher Douglas,Liquid cryogenic ammonia at atmospheric pressure
ammonia,LTE_grid,,Austria,1,2024,3.39E+03,1.12E+00,https://docs.google.com/spreadsheets/d/1uEJaRDQZnTVvMw1-XqN8fl7XEj3xhUSk/edit?gid=1002378938#gid=1002378938,H2A,Christopher Douglas,Liquid cryogenic ammonia at atmospheric pressure
ammonia,LTE_grid,,Switzerland,1,2024,3.00E+03,3.52E-01,https://docs.google.com/spreadsheets/d/1uEJaRDQZnTVvMw1-XqN8fl7XEj3xhUSk/edit?gid=1002378938#gid=1002378938,H2A,Christopher Douglas,Liquid cryogenic ammonia at atmospheric pressure
ammonia,LTE_grid,,Portugal,1,2024,1.78E+03,1.67E+00,https://docs.google.com/spreadsheets/d/1uEJaRDQZnTVvMw1-XqN8fl7XEj3xhUSk/edit?gid=1002378938#gid=1002378938,H2A,Christopher Douglas,Liquid cryogenic ammonia at atmospheric pressure
ammonia,SMR_CCS_grid,,United States,1,2024,7.76E+02,2.53E+00,https://docs.google.com/spreadsheets/d/1uEJaRDQZnTVvMw1-XqN8fl7XEj3xhUSk/edit?gid=1002378938#gid=1002378938,"H2A + Zang et al, 2021: https://doi.org/10.1016/j.ijhydene.2023.09.230.",Christopher Douglas,Liquid cryogenic ammonia at atmospheric pressure
ammonia,SMR_CCS_grid,,Brazil,1,2024,1.12E+03,1.92E+00,https://docs.google.com/spreadsheets/d/1uEJaRDQZnTVvMw1-XqN8fl7XEj3xhUSk/edit?gid=1002378938#gid=1002378939,"H2A + Zang et al, 2021: https://doi.org/10.1016/j.ijhydene.2023.09.230.",Christopher Douglas,Liquid cryogenic ammonia at atmospheric pressure
