Region,Feedstock emissions (g CO2e/mmBtu),Fuel emissions (g CO2e/mmBtu),CO2 from CCS
WA,3776,6000,474383
CA,7642,6000,473644
ID,9623,6000,480247
AZ,12096,6000,478088
MN,11320,6000,488170
IN,6537,6000,480386
NY,6500,6000,481808
ME,9245,6000,485923
TN,8049,6000,479750
NC,9571,6000,476048
GA,6584,6000,476888
LA,4477,6000,476218
