Region,Lower Installation Cost Factor (low),Upper Installation Cost Factor (high),Installation Cost Source,Water price [2024$/m^3],Water price Source,NG price [2024$/GJ],NG price source,NG fugitive emissions [%],NG fugitive emissions source,lignocellulosic biomass upstream emissions [kg CO2e/bone-dry kg],LCB upstream emissions source,lignocellulosic biomass price [2024$/bone-dry kg],LCB price source,Grid Electricity price [2024$/kWh],Grid Electricity Price Source,Grid Electricity Emissions [kgCO2e/kWh],Grid Electricity Emissions Source,Solar Electricity Price [2024$/kWh],Solar Electricity Price Source,Solar Electricity Emissions [kgCO2e/kWh],Solar Electricity Emissions Source,Wind Onshore Electricity Price [2024$/kWh],Wind Onshore Electricity Price Source,Wind Onshore Electricity Emissions [kgCO2e/kWh],Wind Onshore Electricity Emissions Source,Nuclear Electricity Price [2024$/kWh],Nuclear Electricity Price Source,Nuclear Electricity Emissions [kgCO2e/kWh],Nuclear Electricity Emissions Source,Labor Price [2024$/hr],Labor Price Source
Czech Republic,0.89,0.93,https://www.compassinternational.net/wp-content/uploads/2017/01/Worldwide-Industrial.pdf,2.71,https://tariffs.ib-net.org/sites/IBNET/VisualSearch/IndexCurrentUSD?perPage=70,23.05555556,https://www.globalpetrolprices.com/natural_gas_prices/,2,Assumption,0.056319472,from GREET (not region specific),0.09505,"https://www.nrel.gov/docs/fy11osti/51400.pdf (from INL model, converted from 2011 to 2024 USD using https://data.bls.gov/cgi-bin/cpicalc.pl)",0.156,https://www.globalpetrolprices.com/electricity_prices/,0.534,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table,0.0626,Copied value Germany (https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023),0.037,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.0533,Copied value Germany (https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023),0.0098,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.05,placeholder value,0.01,placeholder value,13.942278,https://www.conference-board.org/ilcprogram/index.cfm
Japan,1.05,1.11,https://www.compassinternational.net/wp-content/uploads/2017/01/Worldwide-Industrial.pdf,0.93,https://tariffs.ib-net.org/sites/IBNET/VisualSearch/IndexCurrentUSD?perPage=71,21.66666667,https://www.globalpetrolprices.com/natural_gas_prices/,2,Assumption,0.056319472,from GREET (not region specific),0.09505,"https://www.nrel.gov/docs/fy11osti/51400.pdf (from INL model, converted from 2011 to 2024 USD using https://data.bls.gov/cgi-bin/cpicalc.pl)",0.188,https://www.globalpetrolprices.com/electricity_prices/,0.485,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table,0.1026,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.037,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.1248,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.0098,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.05,placeholder value,0.01,placeholder value,34.445628,https://www.conference-board.org/ilcprogram/index.cfm
Belgium,1.01,1.04,https://www.compassinternational.net/wp-content/uploads/2017/01/Worldwide-Industrial.pdf,2.59,https://tariffs.ib-net.org/sites/IBNET/VisualSearch/IndexCurrentUSD?perPage=72,21.66666667,https://www.globalpetrolprices.com/natural_gas_prices/,2,Assumption,0.056319472,from GREET (not region specific),0.09505,"https://www.nrel.gov/docs/fy11osti/51400.pdf (from INL model, converted from 2011 to 2024 USD using https://data.bls.gov/cgi-bin/cpicalc.pl)",0.154,https://www.globalpetrolprices.com/electricity_prices/,0.138,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table,0.0902,https://iea.blob.core.windows.net/assets/2df33f6b-eba0-4639-926a-bc1c3d3e3268/IEA-NEAProjectedCostsofGeneratingElectricity2020-Datafile.xlsx,0.037,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.0484,Copied value France (https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023),0.0098,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.05,placeholder value,0.01,placeholder value,61.523068,https://www.conference-board.org/ilcprogram/index.cfm
Poland,0.91,0.94,https://www.compassinternational.net/wp-content/uploads/2017/01/Worldwide-Industrial.pdf,1.51,https://tariffs.ib-net.org/sites/IBNET/VisualSearch/IndexCurrentUSD?perPage=73,20.83333333,https://www.globalpetrolprices.com/natural_gas_prices/,2,Assumption,0.056319472,from GREET (not region specific),0.09505,"https://www.nrel.gov/docs/fy11osti/51400.pdf (from INL model, converted from 2011 to 2024 USD using https://data.bls.gov/cgi-bin/cpicalc.pl)",0.554,https://www.globalpetrolprices.com/electricity_prices/,0.662,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table,0.1111,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.037,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.0493,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.0098,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.05,placeholder value,0.01,placeholder value,11.104354,https://www.conference-board.org/ilcprogram/index.cfm
India,0.85,0.92,https://www.compassinternational.net/wp-content/uploads/2017/01/Worldwide-Industrial.pdf,0.11,https://tariffs.ib-net.org/sites/IBNET/VisualSearch/IndexCurrentUSD?perPage=74,18.88888889,https://www.globalpetrolprices.com/natural_gas_prices/,2,Assumption,0.056319472,from GREET (not region specific),0.09505,"https://www.nrel.gov/docs/fy11osti/51400.pdf (from INL model, converted from 2011 to 2024 USD using https://data.bls.gov/cgi-bin/cpicalc.pl)",0.128,https://www.globalpetrolprices.com/electricity_prices/,0.713,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table,0.0481,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.037,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.0464,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.0098,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.05,placeholder value,0.01,placeholder value,2.228265,https://www.conference-board.org/ilcprogram/index.cfm
Indonesia,0.75,0.86,https://www.compassinternational.net/wp-content/uploads/2017/01/Worldwide-Industrial.pdf,0.21,https://tariffs.ib-net.org/sites/IBNET/VisualSearch/IndexCurrentUSD?perPage=75,18.88888889,https://www.globalpetrolprices.com/natural_gas_prices/,2,Assumption,0.056319472,from GREET (not region specific),0.09505,"https://www.nrel.gov/docs/fy11osti/51400.pdf (from INL model, converted from 2011 to 2024 USD using https://data.bls.gov/cgi-bin/cpicalc.pl)",0.069,https://www.globalpetrolprices.com/electricity_prices/,0.713,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table,0.06946,https://docs.google.com/spreadsheets/d/1fC5Inj8ESFZEQaJxT3fgPKZ3X9FTySB2GIfURRDNhuU/edit?gid=1660809619#gid=1660809619,0.037,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.0834,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.0098,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.05,placeholder value,0.01,placeholder value,1.15003173,https://tradingeconomics.com/indonesia/wages-in-manufacturing
South Korea,0.92,0.96,https://www.compassinternational.net/wp-content/uploads/2017/01/Worldwide-Industrial.pdf,0.59,https://tariffs.ib-net.org/sites/IBNET/VisualSearch/IndexCurrentUSD?perPage=76,17.5,https://www.globalpetrolprices.com/natural_gas_prices/,2,Assumption,0.056319472,from GREET (not region specific),0.09505,"https://www.nrel.gov/docs/fy11osti/51400.pdf (from INL model, converted from 2011 to 2024 USD using https://data.bls.gov/cgi-bin/cpicalc.pl)",0.115,https://www.globalpetrolprices.com/electricity_prices/,0.431,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table,0.0675,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.037,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.0674,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.0098,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.05,placeholder value,0.01,placeholder value,29.915364,https://www.conference-board.org/ilcprogram/index.cfm
China,0.88,0.95,https://www.compassinternational.net/wp-content/uploads/2017/01/Worldwide-Industrial.pdf,0.31,https://tariffs.ib-net.org/sites/IBNET/VisualSearch/IndexCurrentUSD?perPage=77,14.72222222,https://www.globalpetrolprices.com/natural_gas_prices/,2,Assumption,0.056319472,from GREET (not region specific),0.09505,"https://www.nrel.gov/docs/fy11osti/51400.pdf (from INL model, converted from 2011 to 2024 USD using https://data.bls.gov/cgi-bin/cpicalc.pl)",0.089,https://www.globalpetrolprices.com/electricity_prices/,0.582,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table,0.0356,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.037,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.026,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.0098,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.05,placeholder value,0.01,placeholder value,5.504523,https://www.conference-board.org/ilcprogram/index.cfm
United Arab Emirates,0.93,0.98,https://www.compassinternational.net/wp-content/uploads/2017/01/Worldwide-Industrial.pdf,1.33,https://tariffs.ib-net.org/sites/IBNET/VisualSearch/IndexCurrentUSD?perPage=78,13.61111111,https://www.globalpetrolprices.com/natural_gas_prices/,2,Assumption,0.056319472,from GREET (not region specific),0.09505,"https://www.nrel.gov/docs/fy11osti/51400.pdf (from INL model, converted from 2011 to 2024 USD using https://data.bls.gov/cgi-bin/cpicalc.pl)",0.11,https://www.globalpetrolprices.com/electricity_prices/,0.465,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table,0.0256,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.037,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.0523,Copied value Egypt (https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023),0.0098,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.05,placeholder value,0.01,placeholder value,10.0113228,https://www.erieri.com/salary/job/factory-worker/united-arab-emirates
United States,1,1,https://www.compassinternational.net/wp-content/uploads/2017/01/Worldwide-Industrial.pdf,2.17,https://tariffs.ib-net.org/sites/IBNET/VisualSearch/IndexCurrentUSD?perPage=79,11.11111111,https://www.globalpetrolprices.com/natural_gas_prices/,2,Assumption,0.056319472,from GREET (not region specific),0.09505,"https://www.nrel.gov/docs/fy11osti/51400.pdf (from INL model, converted from 2011 to 2024 USD using https://data.bls.gov/cgi-bin/cpicalc.pl)",0.137,https://www.globalpetrolprices.com/electricity_prices/,0.369,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table,0.0571,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.037,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.0384,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.0098,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.05,placeholder value,0.01,placeholder value,50.809254,https://www.conference-board.org/ilcprogram/index.cfm
Turkey,0.89,0.94,https://www.compassinternational.net/wp-content/uploads/2017/01/Worldwide-Industrial.pdf,0.45,https://tariffs.ib-net.org/sites/IBNET/VisualSearch/IndexCurrentUSD?perPage=80,10.55555556,https://www.globalpetrolprices.com/natural_gas_prices/,2,Assumption,0.056319472,from GREET (not region specific),0.09505,"https://www.nrel.gov/docs/fy11osti/51400.pdf (from INL model, converted from 2011 to 2024 USD using https://data.bls.gov/cgi-bin/cpicalc.pl)",0.131,https://www.globalpetrolprices.com/electricity_prices/,0.465,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table,0.0827,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.037,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.0773,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.0098,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.05,placeholder value,0.01,placeholder value,7.927962,https://www.conference-board.org/ilcprogram/index.cfm
Australia,1.02,1.03,https://www.compassinternational.net/wp-content/uploads/2017/01/Worldwide-Industrial.pdf,2.67,https://tariffs.ib-net.org/sites/IBNET/VisualSearch/IndexCurrentUSD?perPage=81,10,https://www.globalpetrolprices.com/natural_gas_prices/,2,Assumption,0.056319472,from GREET (not region specific),0.09505,"https://www.nrel.gov/docs/fy11osti/51400.pdf (from INL model, converted from 2011 to 2024 USD using https://data.bls.gov/cgi-bin/cpicalc.pl)",0.181,https://www.globalpetrolprices.com/electricity_prices/,0.549,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table,0.0337,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.037,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.0422,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.0098,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.05,placeholder value,0.01,placeholder value,49.715742,https://www.conference-board.org/ilcprogram/index.cfm
Malaysia,0.83,0.92,https://www.compassinternational.net/wp-content/uploads/2017/01/Worldwide-Industrial.pdf,0.16,https://tariffs.ib-net.org/sites/IBNET/VisualSearch/IndexCurrentUSD?perPage=82,8.333333333,https://www.globalpetrolprices.com/natural_gas_prices/,2,Assumption,0.056319472,from GREET (not region specific),0.09505,"https://www.nrel.gov/docs/fy11osti/51400.pdf (from INL model, converted from 2011 to 2024 USD using https://data.bls.gov/cgi-bin/cpicalc.pl)",0.131,https://www.globalpetrolprices.com/electricity_prices/,0.105,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table,0.06137,https://docs.google.com/spreadsheets/d/1fC5Inj8ESFZEQaJxT3fgPKZ3X9FTySB2GIfURRDNhuU/edit?gid=1660809619#gid=1660809619,0.037,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.0834,Copied value Indonesia (https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023),0.0098,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.05,placeholder value,0.01,placeholder value,4.40425681,https://tradingeconomics.com/malaysia/wages-in-manufacturing
Canada,0.94,1.1,https://www.compassinternational.net/wp-content/uploads/2017/01/Worldwide-Industrial.pdf,2.1,https://tariffs.ib-net.org/sites/IBNET/VisualSearch/IndexCurrentUSD?perPage=83,6.944444444,https://www.globalpetrolprices.com/natural_gas_prices/,2,Assumption,0.056319472,from GREET (not region specific),0.09505,"https://www.nrel.gov/docs/fy11osti/51400.pdf (from INL model, converted from 2011 to 2024 USD using https://data.bls.gov/cgi-bin/cpicalc.pl)",0.114,https://www.globalpetrolprices.com/electricity_prices/,0.17,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table,0.093,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.037,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.0364,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.0098,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.05,placeholder value,0.01,placeholder value,39.158144,https://www.conference-board.org/ilcprogram/index.cfm
Mexico,0.84,0.92,https://www.compassinternational.net/wp-content/uploads/2017/01/Worldwide-Industrial.pdf,0.48,https://tariffs.ib-net.org/sites/IBNET/VisualSearch/IndexCurrentUSD?perPage=84,6.944444444,https://www.globalpetrolprices.com/natural_gas_prices/,2,Assumption,0.056319472,from GREET (not region specific),0.09505,"https://www.nrel.gov/docs/fy11osti/51400.pdf (from INL model, converted from 2011 to 2024 USD using https://data.bls.gov/cgi-bin/cpicalc.pl)",0.196,https://www.globalpetrolprices.com/electricity_prices/,0.507,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table,0.0648,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.037,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.0471,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.0098,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.05,placeholder value,0.01,placeholder value,5.090038,https://www.conference-board.org/ilcprogram/index.cfm
Thailand,0.85,0.93,https://www.compassinternational.net/wp-content/uploads/2017/01/Worldwide-Industrial.pdf,0.35,https://tariffs.ib-net.org/sites/IBNET/VisualSearch/IndexCurrentUSD?perPage=85,6.666666667,https://www.globalpetrolprices.com/natural_gas_prices/,2,Assumption,0.056319472,from GREET (not region specific),0.09505,"https://www.nrel.gov/docs/fy11osti/51400.pdf (from INL model, converted from 2011 to 2024 USD using https://data.bls.gov/cgi-bin/cpicalc.pl)",0.115,https://www.globalpetrolprices.com/electricity_prices/,0.55,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table,0.05029,https://docs.google.com/spreadsheets/d/1fC5Inj8ESFZEQaJxT3fgPKZ3X9FTySB2GIfURRDNhuU/edit?gid=1660809619#gid=1660809619,0.037,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.07255,https://docs.google.com/spreadsheets/d/1fC5Inj8ESFZEQaJxT3fgPKZ3X9FTySB2GIfURRDNhuU/edit?gid=1660809619#gid=1660809619,0.0098,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.05,placeholder value,0.01,placeholder value,2.33441989,https://tradingeconomics.com/thailand/wages-in-manufacturing
Russia,0.92,0.97,https://www.compassinternational.net/wp-content/uploads/2017/01/Worldwide-Industrial.pdf,0.44,https://tariffs.ib-net.org/sites/IBNET/VisualSearch/IndexCurrentUSD?perPage=86,2.5,https://www.globalpetrolprices.com/natural_gas_prices/,2,Assumption,0.056319472,from GREET (not region specific),0.09505,"https://www.nrel.gov/docs/fy11osti/51400.pdf (from INL model, converted from 2011 to 2024 USD using https://data.bls.gov/cgi-bin/cpicalc.pl)",0.095,https://www.globalpetrolprices.com/electricity_prices/,0.441,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table,0.093,Copied value Canada (https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023),0.037,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.1057,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.0098,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.05,placeholder value,0.01,placeholder value,4.96059992,https://tradingeconomics.com/russia/wages-in-manufacturing
Saudi Arabia,0.93,0.98,https://www.compassinternational.net/wp-content/uploads/2017/01/Worldwide-Industrial.pdf,1.54,https://tariffs.ib-net.org/sites/IBNET/VisualSearch/IndexCurrentUSD?perPage=87,2.5,https://www.globalpetrolprices.com/natural_gas_prices/,2,Assumption,0.056319472,from GREET (not region specific),0.09505,"https://www.nrel.gov/docs/fy11osti/51400.pdf (from INL model, converted from 2011 to 2024 USD using https://data.bls.gov/cgi-bin/cpicalc.pl)",0.068,https://www.globalpetrolprices.com/electricity_prices/,0.441,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table,0.0436,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.037,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.0523,Copied value Egypt (https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023),0.0098,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.05,placeholder value,0.01,placeholder value,8.93304712,https://www.erieri.com/salary/job/factory-worker/saudi-arabia
