Region,Lower Installation Cost Factor (low),Upper Installation Cost Factor (high),Installation Cost Source,Water price [2024$/m^3],Water price Source,NG price [2024$/GJ],NG price source,NG fugitive emissions [%],NG fugitive emissions source,lignocellulosic biomass upstream emissions [kg CO2e/bone-dry kg],LCB upstream emissions source,lignocellulosic biomass price [2024$/bone-dry kg],LCB price source,Grid Electricity price [2024$/kWh],Grid Electricity Price Source,Grid Electricity Emissions [kgCO2e/kWh],Grid Electricity Emissions Source,Solar Electricity Price [2024$/kWh],Solar Electricity Price Source,Solar Electricity Emissions [kgCO2e/kWh],Solar Electricity Emissions Source,Wind Onshore Electricity Price [2024$/kWh],Wind Onshore Electricity Price Source,Wind Onshore Electricity Emissions [kgCO2e/kWh],Wind Onshore Electricity Emissions Source,Nuclear Electricity Price [2024$/kWh],Nuclear Electricity Price Source,Nuclear Electricity Emissions [kgCO2e/kWh],Nuclear Electricity Emissions Source,Labor Price [2024$/hr],Labor Price Source
Austria,1.04,1.04,https://www.compassinternational.net/wp-content/uploads/2017/01/Worldwide-Industrial.pdf,2.11,https://tariffs.ib-net.org/sites/IBNET/VisualSearch/IndexCurrentUSD?perPage=60,36.11111111,https://www.globalpetrolprices.com/natural_gas_prices/,2,Assumption,0.056319472,from GREET (not region specific),0.09505,"https://www.nrel.gov/docs/fy11osti/51400.pdf (from INL model, converted from 2011 to 2024 USD using https://data.bls.gov/cgi-bin/cpicalc.pl)",0.309,https://www.globalpetrolprices.com/electricity_prices/,0.111,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table,0.0626,Copied value Germany (https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023),0.037,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.0457,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.0098,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.05,placeholder value,0.01,placeholder value,51.473172,https://www.conference-board.org/ilcprogram/index.cfm
Finland,1.06,1.1,https://www.compassinternational.net/wp-content/uploads/2017/01/Worldwide-Industrial.pdf,2.68,https://tariffs.ib-net.org/sites/IBNET/VisualSearch/IndexCurrentUSD?perPage=61,33.88888889,https://www.globalpetrolprices.com/natural_gas_prices/,2,Assumption,0.056319472,from GREET (not region specific),0.09505,"https://www.nrel.gov/docs/fy11osti/51400.pdf (from INL model, converted from 2011 to 2024 USD using https://data.bls.gov/cgi-bin/cpicalc.pl)",0.129,https://www.globalpetrolprices.com/electricity_prices/,0.079,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table,0.0926,Copied value Denmark (https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023),0.037,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.0426,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.0098,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.05,placeholder value,0.01,placeholder value,50.405696,https://www.conference-board.org/ilcprogram/index.cfm
Portugal,0.89,0.93,https://www.compassinternational.net/wp-content/uploads/2017/01/Worldwide-Industrial.pdf,1.59,https://tariffs.ib-net.org/sites/IBNET/VisualSearch/IndexCurrentUSD?perPage=62,33.05555556,https://www.globalpetrolprices.com/natural_gas_prices/,2,Assumption,0.056319472,from GREET (not region specific),0.09505,"https://www.nrel.gov/docs/fy11osti/51400.pdf (from INL model, converted from 2011 to 2024 USD using https://data.bls.gov/cgi-bin/cpicalc.pl)",0.153,https://www.globalpetrolprices.com/electricity_prices/,0.166,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table,0.046,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.037,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.0517,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.0098,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.05,placeholder value,0.01,placeholder value,14.267728,https://www.conference-board.org/ilcprogram/index.cfm
Germany,1.01,1.05,https://www.compassinternational.net/wp-content/uploads/2017/01/Worldwide-Industrial.pdf,3.14,https://tariffs.ib-net.org/sites/IBNET/VisualSearch/IndexCurrentUSD?perPage=63,29.44444444,https://www.globalpetrolprices.com/natural_gas_prices/,2,Assumption,0.056319472,from GREET (not region specific),0.09505,"https://www.nrel.gov/docs/fy11osti/51400.pdf (from INL model, converted from 2011 to 2024 USD using https://data.bls.gov/cgi-bin/cpicalc.pl)",0.272,https://www.globalpetrolprices.com/electricity_prices/,0.381,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table,0.0626,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.037,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.0533,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.0098,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.05,placeholder value,0.01,placeholder value,56.211724,https://www.conference-board.org/ilcprogram/index.cfm
Greece,0.91,0.93,https://www.compassinternational.net/wp-content/uploads/2017/01/Worldwide-Industrial.pdf,1.03,https://tariffs.ib-net.org/sites/IBNET/VisualSearch/IndexCurrentUSD?perPage=64,29.44444444,https://www.globalpetrolprices.com/natural_gas_prices/,2,Assumption,0.056319472,from GREET (not region specific),0.09505,"https://www.nrel.gov/docs/fy11osti/51400.pdf (from INL model, converted from 2011 to 2024 USD using https://data.bls.gov/cgi-bin/cpicalc.pl)",0.235,https://www.globalpetrolprices.com/electricity_prices/,0.337,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table,0.046,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.037,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.0464,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.0098,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.05,placeholder value,0.01,placeholder value,20.43826,https://www.conference-board.org/ilcprogram/index.cfm
France,0.97,1.05,https://www.compassinternational.net/wp-content/uploads/2017/01/Worldwide-Industrial.pdf,2.14,https://tariffs.ib-net.org/sites/IBNET/VisualSearch/IndexCurrentUSD?perPage=65,29.16666667,https://www.globalpetrolprices.com/natural_gas_prices/,2,Assumption,0.056319472,from GREET (not region specific),0.09505,"https://www.nrel.gov/docs/fy11osti/51400.pdf (from INL model, converted from 2011 to 2024 USD using https://data.bls.gov/cgi-bin/cpicalc.pl)",0.192,https://www.globalpetrolprices.com/electricity_prices/,0.056,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table,0.05,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.037,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.0484,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.0098,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.05,placeholder value,0.01,placeholder value,49.103896,https://www.conference-board.org/ilcprogram/index.cfm
Brazil,0.88,0.96,https://www.compassinternational.net/wp-content/uploads/2017/01/Worldwide-Industrial.pdf,0.72,https://tariffs.ib-net.org/sites/IBNET/VisualSearch/IndexCurrentUSD?perPage=66,27.5,https://www.globalpetrolprices.com/natural_gas_prices/,2,Assumption,0.056319472,from GREET (not region specific),0.09505,"https://www.nrel.gov/docs/fy11osti/51400.pdf (from INL model, converted from 2011 to 2024 USD using https://data.bls.gov/cgi-bin/cpicalc.pl)",0.117,https://www.globalpetrolprices.com/electricity_prices/,0.098,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table,0.0592,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.037,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.0245,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.0098,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.05,placeholder value,0.01,placeholder value,10.388364,https://www.conference-board.org/ilcprogram/index.cfm
United Kingdom,1.02,1.11,https://www.compassinternational.net/wp-content/uploads/2017/01/Worldwide-Industrial.pdf,1.33,https://tariffs.ib-net.org/sites/IBNET/VisualSearch/IndexCurrentUSD?perPage=67,24.72222222,https://www.globalpetrolprices.com/natural_gas_prices/,2,Assumption,0.056319472,from GREET (not region specific),0.09505,"https://www.nrel.gov/docs/fy11osti/51400.pdf (from INL model, converted from 2011 to 2024 USD using https://data.bls.gov/cgi-bin/cpicalc.pl)",0.123,https://www.globalpetrolprices.com/electricity_prices/,0.238,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table,0.0691,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.037,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.0314,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.0098,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.05,placeholder value,0.01,placeholder value,36.984138,https://www.conference-board.org/ilcprogram/index.cfm
Spain,0.92,0.94,https://www.compassinternational.net/wp-content/uploads/2017/01/Worldwide-Industrial.pdf,2.03,https://tariffs.ib-net.org/sites/IBNET/VisualSearch/IndexCurrentUSD?perPage=68,23.33333333,https://www.globalpetrolprices.com/natural_gas_prices/,2,Assumption,0.056319472,from GREET (not region specific),0.09505,"https://www.nrel.gov/docs/fy11osti/51400.pdf (from INL model, converted from 2011 to 2024 USD using https://data.bls.gov/cgi-bin/cpicalc.pl)",0.146,https://www.globalpetrolprices.com/electricity_prices/,0.174,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table,0.0384,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.037,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.0357,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.0098,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.05,placeholder value,0.01,placeholder value,30.514192,https://www.conference-board.org/ilcprogram/index.cfm
Sweden,1.07,1.13,https://www.compassinternational.net/wp-content/uploads/2017/01/Worldwide-Industrial.pdf,2.89,https://tariffs.ib-net.org/sites/IBNET/VisualSearch/IndexCurrentUSD?perPage=69,23.33333333,https://www.globalpetrolprices.com/natural_gas_prices/,2,Assumption,0.056319472,from GREET (not region specific),0.09505,"https://www.nrel.gov/docs/fy11osti/51400.pdf (from INL model, converted from 2011 to 2024 USD using https://data.bls.gov/cgi-bin/cpicalc.pl)",0.081,https://www.globalpetrolprices.com/electricity_prices/,0.041,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table,0.0926,Copied value Denmark (https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023),0.037,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.0436,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.0098,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.05,placeholder value,0.01,placeholder value,54.259024,https://www.conference-board.org/ilcprogram/index.cfm
