Stage,NG Consumption (kg/kg),NG Consumption (GJ/kg),Electricity Consumption (kWh/kg),Water Consumption (m^3/kg),CH4 Emissions (kg/kg),CO2 Emissions (kg/kg)
Liquefaction,0.100684,0.00555876364,0.028494494444444445,0.00012103101268972485,0.0011409286761557102,0.3169566110844901
Production,0.078402,0.00432857442,0.012514266666666668,0.00040904916727378367,0.00520955893344978,0.23715492181524
