Fuel,Hydrogen Source,Carbon Source,Electricity Source,Pathway Name,Region,Number,Year,CapEx [$/tonne],OpEx [$/tonne],Fuel Production LCOF [$/tonne],Fuel Production Emissions [kg CO2e / kg fuel],Land Transport Cost [$/tonne],Land Transport Emissions [kg CO2e / kg fuel],Fuel Storage Cost [$/tonne],Fuel Storage Emissions [kg CO2e / kg fuel],Tanker Transport Cost [$/tonne],Tanker Transport Emissions [kg CO2e / kg fuel],Final LCOF [$/tonne],Final Emissions [kg CO2e / kg fuel]
methanol,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,South Africa,1,2024,171.99539045238782,287.8105567791484,459.8059472315362,-0.2482863521861684,24.53851842343582,0.0612638196651808,2.3634903994060386,0.0004340817049999,18.087125459571656,0.0622256393808624,504.79508151394975,-0.12436281143512531
methanol,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Taiwan,1,2024,169.2361061135794,642.3259325298903,811.5620386434698,-0.332520156873361,6.525622092765043,0.0173213779005709,2.3754370312337483,0.0003893878199999,6.187684866182444,0.0212876638659976,826.650782633651,-0.29352172728679254
methanol,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Switzerland,1,2024,203.26727962554924,2175.3270536312075,2378.5943332567567,-1.023698910402516,11.96100749459355,0.0305809949051598,2.9013606570253185,2.2653065e-05,23.89291933624232,0.0821994730835609,2417.349620744618,-0.9108957893487953
methanol,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Singapore,1,2024,170.1558675598489,2290.415955693855,2460.571823253704,-0.4906027766287771,1.0509671989197895,0.0039659630112667,2.4600262639578463,0.000305510255,0.0,0.0,2464.082816716582,-0.4863313033625104
methanol,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Hungary,1,2024,165.55706032850165,951.403331361768,1116.9603916902695,-0.8552313010281312,18.611567505354483,0.0468050290976679,2.344427090337363,0.0001120408349999,23.265519221402705,0.0800410110669854,1161.181905507364,-0.7282732200284779
methanol,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Philippines,1,2024,164.63729888223216,597.2966680055889,761.933966887821,-0.3590595747885038,10.107765430778445,0.0260600128282098,2.301470517613267,0.0003753061849999,4.77723291213275,0.0164352468883576,779.1204357483455,-0.31618900888693646
methanol,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Netherlands,1,2024,188.55109648523796,1529.846114279636,1718.3972107648742,-0.7744591595472615,5.11922627434319,0.0138904767720408,2.673239243439774,0.000154897985,30.748135543443095,0.1057836635366315,1756.9378118261004,-0.6546301212535892
methanol,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Norway,1,2024,208.78584830316595,1098.202664933331,1306.9885132364973,-1.030622236815162,21.57408582181769,0.0540320894331074,2.878079638369897,1.8979595e-05,32.62999337783025,0.1122578712392522,1364.0706720745152,-0.8643132965478024
methanol,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Oman,1,2024,175.67443623746564,332.73270516371923,508.4071414011848,-0.4375239407984913,18.344062311311852,0.046152450456501,2.4808268853024247,0.000333673525,11.866993217987575,0.0408263459093141,541.0990238157866,-0.3502114709076761
methanol,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Italy,1,2024,176.59419768373508,1929.881826204897,2106.476023888632,-0.7340730888068268,11.7952928886772,0.030176734297296,2.651130418026521,0.00017632656,23.438450139177007,0.0806359500997951,2144.3608973345126,-0.6230840778497357
