Fuel,Hydrogen Source,Carbon Source,Electricity Source,Pathway Name,Region,Number,Year,CapEx [$/tonne],OpEx [$/tonne],Fuel Production LCOF [$/tonne],Fuel Production Emissions [kg CO2e / kg fuel],Land Transport Cost [$/tonne],Land Transport Emissions [kg CO2e / kg fuel],Fuel Storage Cost [$/tonne],Fuel Storage Emissions [kg CO2e / kg fuel],Tanker Transport Cost [$/tonne],Tanker Transport Emissions [kg CO2e / kg fuel],Final LCOF [$/tonne],Final Emissions [kg CO2e / kg fuel]
FTdiesel,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,South Africa,1,2024,534.5250098309498,783.3548740146193,1317.879883845569,-0.6830747438595287,24.44615260753832,0.0610332155761023,2.3548013591949744,0.0004340817049999,18.019043431492967,0.0619914148913485,1362.6998812437953,-0.559616031687078
FTdiesel,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Taiwan,1,2024,525.9497422935549,1756.8982922282055,2282.8480345217604,-0.8346272780210192,6.501058897936567,0.0172561782346967,2.3668873873897067,0.0003893878199999,6.16439370608389,0.0212075346419098,2297.880374513171,-0.7957741773244128
FTdiesel,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Switzerland,1,2024,631.7113752547588,6273.854001082822,6905.56537633758,-2.0781884829899635,11.91598488169044,0.0304658845102847,2.8910917913213336,2.2653065e-05,23.802983629832372,0.081890064778353,6944.175436640425,-1.9658098806363262
FTdiesel,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Singapore,1,2024,528.8081648060198,6672.920847002205,7201.729011808225,-1.119047787337789,1.0470112370668925,0.0039510346686898,2.4514301546581305,0.000305510255,0.0,0.0,7205.227453199949,-1.1147912424140993
FTdiesel,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Hungary,1,2024,514.5160522436948,2673.8013791320823,3188.3174313757772,-1.775083414666982,18.541511416877615,0.0466288495653053,2.336063308316018,0.0001120408349999,23.177945121447607,0.0797397274619654,3232.3729512224186,-1.6486027968047114
FTdiesel,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Philippines,1,2024,511.65762973123,1658.913460685694,2170.571090416924,-0.8823767065924479,10.06971863492859,0.0259619199317423,2.293153201047596,0.0003753061849999,4.759250856001761,0.0163733827219021,2187.693213108902,-0.8396660977538035
FTdiesel,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Netherlands,1,2024,585.9766150553191,4382.648616880025,4968.625231935344,-1.629759066840895,5.099956915719565,0.0138381914140532,2.663713825026576,0.000154897985,30.632396011911936,0.1053854816161674,5007.0212986880015,-1.5103804958256744
FTdiesel,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Norway,1,2024,648.8619103295486,3186.0100901731503,3834.872000502699,-2.090644855660771,21.492878472425655,0.0538287064114019,2.867531979931867,1.8979595e-05,32.507170316182204,0.111835319653659,3891.7395812712384,-1.9249618500007097
FTdiesel,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Oman,1,2024,545.9586998808096,752.7942715856176,1298.7529714664272,-1.0235489301949323,18.275013143264257,0.0459787273054728,2.471951983268664,0.000333673525,11.822324485673947,0.0406726708306091,1331.322261078634,-0.9365638585338504
FTdiesel,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Italy,1,2024,548.8171223932745,5286.803698721239,5835.620821114513,-1.5570968929278517,11.75089404467967,0.0300631455860138,2.6422090505370863,0.00017632656,23.3502251072855,0.0803324270755801,5873.364149317016,-1.4465249937062576
FTdiesel,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Austria,1,2024,594.551882592714,4294.564911632388,4889.116794225102,-1.9411683836110811,9.657120726756355,0.0249553877661634,2.7373420968318425,6.3061235e-05,23.3502251072855,0.0803324270755801,4924.861482155976,-1.8358175075343375
FTdiesel,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Finland,1,2024,617.419262692434,4178.085052642671,4795.504315335105,-2.00552630907692,18.609053110807498,0.0467936174570265,2.7347045299792216,4.408164e-05,34.67020385876978,0.1192768639438567,4851.518276834662,-1.839411746036037
FTdiesel,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Portugal,1,2024,520.2328972686249,3670.5244080018974,4190.757305270522,-1.9224838246048703,9.084205983650287,0.0235577628493887,2.330046772852863,6.857144e-05,26.541123516500846,0.0913101633751714,4228.712681543527,-1.8075473269403104
FTdiesel,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Germany,1,2024,588.8350375677842,4037.588803490713,4626.423841058497,-1.440837414666982,13.79894112311398,0.0350593542924417,2.708460667294999,0.00021061228,31.332519932422898,0.1077941373584526,4674.263762781328,-1.2977733107360876
FTdiesel,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Greece,1,2024,525.9497422935549,2397.2651747983223,2923.2149170918774,-1.4906629053502118,8.004327760205324,0.020923401052402,2.410356782389708,0.0001959184,20.758426647186017,0.0714157909474949,2954.388028281658,-1.398127794950315
FTdiesel,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,France,1,2024,577.4013475179243,4203.3216571676685,4780.723004685593,-2.063656048207355,15.95728405527506,0.040324629618712,2.600493718221309,2.693878e-05,29.93460098090079,0.1029848380170222,4829.21538343999,-1.9203196417916208
FTdiesel,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Brazil,1,2024,525.9497422935549,3935.3106942487702,4461.260436542326,-1.9411683836110811,68.70691010575452,0.1690072872145006,2.341785342389707,6.3061235e-05,32.995143599028594,0.1135141076730027,4565.3042755894985,-1.6585839274885779
FTdiesel,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,United Kingdom,1,2024,608.8439951550389,3750.951856476534,4359.795851631573,-1.716953675536547,12.86735560697842,0.0327867523998833,2.890055888173955,0.000129183695,29.72650671536288,0.102268925543615,4405.279769842088,-1.5817688138980488
FTdiesel,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Spain,1,2024,531.6665873184847,3102.1911444872717,3633.857731805757,-1.851897712803628,21.30530921537091,0.0533711314049369,2.371891261926552,8.938776999999999e-05,25.59894363309946,0.0880687557901197,3683.133875916154,-1.7103684378385715
FTdiesel,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Sweden,1,2024,628.8529527422938,5855.25565164629,6484.108604388584,-2.0802645451017647,22.479466319457497,0.056235486432672,2.7492758002216604,2.204082e-05,32.259462301835065,0.1109831229015014,6541.596808810098,-1.9130238949475915
