Fuel,Hydrogen Source,Carbon Source,Electricity Source,Pathway Name,Region,Number,Year,CapEx [$/tonne],OpEx [$/tonne],Fuel Production LCOF [$/tonne],Fuel Production Emissions [kg CO2e / kg fuel],Land Transport Cost [$/tonne],Land Transport Emissions [kg CO2e / kg fuel],Fuel Storage Cost [$/tonne],Fuel Storage Emissions [kg CO2e / kg fuel],Tanker Transport Cost [$/tonne],Tanker Transport Emissions [kg CO2e / kg fuel],Final LCOF [$/tonne],Final Emissions [kg CO2e / kg fuel]
ammonia,ATRCCS,,grid,ATRCCS_H_grid_E,South Africa,1,2024,153.0005125017031,260.53581734770614,413.5363298494093,1.290814396481858,33.88057380211861,0.0066445524812235,14.145041851870085,0.05672,21.057445183137673,0.0724445127102709,482.61939068653567,1.4266234616733524
ammonia,ATRCCS,,grid,ATRCCS_H_grid_E,Taiwan,1,2024,150.54595882520513,604.6960975057317,755.2420563309369,1.1810559456966798,14.355511307849394,0.0016441948150371,20.433624068150245,0.05088,7.203844257696276,0.0247835852046951,797.2350359646327,1.2583637257164122
ammonia,ATRCCS,,grid,ATRCCS_H_grid_E,Switzerland,1,2024,180.81878750201273,1942.4770588783908,2123.2958463804034,0.2804352330895302,20.247192340312665,0.0031530510569083,30.847776734028276,0.00296,27.81668321550792,0.0956985067864331,2202.2074986702523,0.3822467909328716
ammonia,ATRCCS,,grid,ATRCCS_H_grid_E,Singapore,1,2024,151.36414338403782,2078.273210545302,2229.63735392934,0.9750709079217558,8.42126414544956,0.0001244374109182,29.91076332939019,0.03992,0.0,0.0,2267.96938140418,1.015115345332674
ammonia,ATRCCS,,grid,ATRCCS_H_grid_E,Hungary,1,2024,147.27322058987463,889.2329910135959,1036.5062116034703,0.4999521346598872,27.45606077813814,0.0049992382621062,22.685067023190456,0.01464,27.086249650723964,0.0931855759342909,1113.7335890555228,0.6127769488562843
ammonia,ATRCCS,,grid,ATRCCS_H_grid_E,Philippines,1,2024,146.455036031042,563.1567882612874,709.6118242923294,1.14647451599724,18.23837230111739,0.0026385933599904,18.647927761950505,0.04904,5.5617638302542565,0.0191342903656246,752.0598881856515,1.217287399722855
ammonia,ATRCCS,,grid,ATRCCS_H_grid_E,Netherlands,1,2024,167.72783456069052,1382.2854082728777,1550.013242833568,0.6051999641799215,12.831049847445094,0.0012537810812744,26.25354855418913,0.02024,35.79768272946307,0.1231557607743188,1624.8955239646652,0.7498495060355147
ammonia,ATRCCS,,grid,ATRCCS_H_grid_E,Norway,1,2024,185.72789485500857,938.8371856545936,1124.5650805096022,0.2714139905592416,30.667279796307408,0.0058216296700732,18.350612301467965,0.00248,37.98858466568507,0.1306931814720913,1211.5715572730626,0.4104088017014061
ammonia,ATRCCS,,grid,ATRCCS_H_grid_E,Oman,1,2024,156.27325073703364,353.19578929491075,509.4690400319443,1.0442337673206354,27.166098767846073,0.0049249791522318,23.17359889682987,0.0436,13.815824948800785,0.0475309657653892,573.6245626454211,1.1402897122382567
ammonia,ATRCCS,,grid,ATRCCS_H_grid_E,Italy,1,2024,157.09143529586626,1845.2855436078048,2002.3769789036708,0.6578238789399384,20.06756614487286,0.0031070488879688,43.850738158069824,0.0230399999999999,27.28757978080138,0.0938782175648641,2093.582862987415,0.7778491453927713
ammonia,ATRCCS,,grid,ATRCCS_H_grid_E,Austria,1,2024,170.18238823718846,1410.3252489020308,1580.5076371392192,0.3796689009227053,17.789447370858756,0.0025236239345548,31.164966337908968,0.0082399999999999,27.28757978080138,0.0938782175648641,1656.7496306287885,0.4843107424221241
ammonia,ATRCCS,,grid,ATRCCS_H_grid_E,Finland,1,2024,176.72786470784956,1225.6697890936814,1402.3976538015309,0.3330591478495474,27.529549154197397,0.0050180585944207,18.262080427828543,0.0057599999999999,40.51635260328374,0.1393895316176742,1488.7056359868407,0.4832267380616422
