Fuel,Hydrogen Source,Carbon Source,Electricity Source,Pathway Name,Region,Number,Year,CapEx [$/tonne],OpEx [$/tonne],Fuel Production LCOF [$/tonne],Fuel Production Emissions [kg CO2e / kg fuel],Land Transport Cost [$/tonne],Land Transport Emissions [kg CO2e / kg fuel],Fuel Storage Cost [$/tonne],Fuel Storage Emissions [kg CO2e / kg fuel],Tanker Transport Cost [$/tonne],Tanker Transport Emissions [kg CO2e / kg fuel],Final LCOF [$/tonne],Final Emissions [kg CO2e / kg fuel]
lng,,,,fossil,South Africa,1,2024,78.20798562778377,240.8255164709382,319.03350209872195,0.7910301332826266,36.05304361240747,0.0488776508666503,12.135525238045703,0.05672,33.55415330584088,0.1154372842719738,400.776224255016,1.0120650684212507
lng,,,,fossil,Taiwan,1,2024,76.95331206156263,698.8862834708979,775.8395955324605,0.7880364937215154,8.910824241692303,0.0120805378015195,18.45634568877224,0.05088,11.47902285922631,0.0394916007233694,814.6857883221514,0.8904886322464044
lng,,,,fossil,Switzerland,1,2024,92.4276193782899,3056.56944818408,3148.99706756237,0.76347224581596,17.100979796499654,0.0231840542772731,28.47289346314492,0.00296,44.32471484340281,0.1524915458606248,3238.8956556654175,0.9421078459538579
lng,,,,fossil,Singapore,1,2024,77.37153658363636,3326.3255191088556,3403.697055692492,0.7824182934492933,0.6614965722328433,0.0008968008042448,27.9227388718634,0.03992,0.0,0.0,3432.281291136588,0.823235094253538
lng,,,,fossil,Hungary,1,2024,75.2804139732678,1184.9583359061846,1260.2387498794524,0.7694595249381821,27.122186571715517,0.0367699542996764,20.75077295640763,0.01464,43.160799677088185,0.148487296231744,1351.2725090846636,0.9693567754696026
lng,,,,fossil,Philippines,1,2024,74.8621894511941,676.0710826478022,750.9332720989963,0.7870932922159599,14.30847482008127,0.0193982134825784,16.72437977331648,0.04904,8.862436757554681,0.0304896869844766,790.8285634499488,0.8860211926830149
lng,,,,fossil,Netherlands,1,2024,85.73602702511054,2077.355297984755,2163.0913250098656,0.77233013821596,6.791636792605323,0.0092075236568326,24.05060253368647,0.02024,57.04210191937808,0.196243525345994,2250.9756662555355,0.9980211872187866
lng,,,,fossil,Norway,1,2024,94.93696651073216,1501.6342942370595,1596.571260747792,0.7632261932492933,31.586172849052392,0.0428218473127285,15.911252561691846,0.00248,60.53321201401219,0.2082540882335661,1704.6018981725483,1.016782128795588
lng,,,,fossil,Oman,1,2024,79.88088371607861,93.90822529023664,173.78910900631524,0.7843046964604043,26.719103995420006,0.0362234892176598,21.12109797041032,0.0436,22.014936016547047,0.0757385949812978,243.6442469886926,0.9398667806593619
lng,,,,fossil,Italy,1,2024,80.29910823815231,2338.923298089766,2419.222406327918,0.7737654448548488,16.85127746633886,0.0228455290907342,41.78749115350147,0.0230399999999999,43.481610772211546,0.1495909915402742,2521.3427857199704,0.9692419654858572
lng,,,,fossil,Austria,1,2024,86.99070059133169,1953.191024668595,2040.181725259927,0.7661788240492933,13.684414387924436,0.018552165413778,28.929782082959928,0.0082399999999999,43.481610772211546,0.1495909915402742,2126.277532503023,0.9425619810033454
lng,,,,fossil,Finland,1,2024,90.33649676792136,2073.5639423336406,2163.900439101562,0.7649075524548489,27.22434438169863,0.0369084511717668,15.940927547689158,0.0057599999999999,64.56110391457831,0.2221113564562004,2271.626814945528,1.029687360082816
lng,,,,fossil,Portugal,1,2024,76.11686301741521,1801.7750556964509,1877.891918713866,0.7665479028992932,12.817872374283043,0.0173773814354991,16.803559322589937,0.00896,49.423540753857885,0.1700331780607748,1956.936891164597,0.962918462395567
lng,,,,fossil,Germany,1,2024,86.15425154718426,1808.7390091856944,1894.8932607328784,0.776061935477071,19.948978931930707,0.0270451293339769,28.316995716777623,0.02752,58.34583735079685,0.2007288025109504,2001.5050727323837,1.0313558673219982
lng,,,,fossil,Greece,1,2024,76.95331206156264,971.9771687285678,1048.9304807901303,0.7750777252104044,11.184540606351485,0.0151630491100337,24.136345688772245,0.0256,38.655294480858075,0.1329868817410128,1122.9066615661122,0.9488276560614509
lng,,,,fossil,France,1,2024,84.48135345888942,2021.1628452602552,2105.6441987191447,0.7637593071437376,23.213504505882067,0.031470895517943,20.531422984413005,0.0035199999999999,55.74270322845311,0.1917731679896417,2205.131829437893,0.9905233706513222
lng,,,,fossil,Brazil,1,2024,76.95331206156263,1981.3129269959625,2058.266239057525,0.7661788240492933,102.99809327173692,0.1396360567221048,15.176345688772244,0.0082399999999999,61.4418912346397,0.2113802425593065,2237.882569252674,1.1254351233307045
lng,,,,fossil,United Kingdom,1,2024,89.08182320170022,1489.4224789815262,1578.5043021832264,0.7706077702492933,18.53994207479783,0.0251348769763235,40.9817479984157,0.01688,55.355200589122006,0.1904400319118252,1693.381192845562,1.003062679137442
lng,,,,fossil,Spain,1,2024,77.78976110571006,1476.0927638150015,1553.8825249207118,0.7679422007770711,31.30247157646122,0.042437229251041,15.949132054954552,0.01168,47.66906092425297,0.1639971924409472,1648.8031894763806,0.9860566224690593
lng,,,,fossil,Sweden,1,2024,92.0093948562162,3083.9918893724835,3176.0012842286997,0.7634312370548488,33.07840154431364,0.0448448840905465,11.52280028005377,0.0028799999999999,60.07194265084708,0.2066671704497585,3280.674428703914,1.0178232915951537
lng,,,,fossil,Czech Republic,1,2024,76.11686301741521,1498.2492545875757,1574.366117604991,0.7789325487548489,29.505004291634744,0.0400003759485437,23.283559322589937,0.03312,43.481610772211546,0.1495909915402742,1670.6362919914272,1.0016439162436668
lng,,,,fossil,Japan,1,2024,90.33649676792136,1569.5050545245228,1659.841551292444,0.7817211445104044,12.977661099092396,0.0175940094014379,22.260927547689153,0.03856,20.26636492616301,0.0697229373608958,1715.3465048653884,0.9075980912727382
lng,,,,fossil,Belgium,1,2024,85.73602702511054,1156.464780748723,1242.2008077738335,0.7676141306881822,4.233422153209155,0.0057393137788924,26.37060253368647,0.01104,56.92766564566551,0.1958498270595502,1329.7324981063946,0.9802432715266248
lng,,,,fossil,Poland,1,2024,77.37153658363636,1685.977973809978,1763.3495103936143,0.7871753097381822,16.004410049511293,0.0216974182578447,37.9227388718634,0.0492,62.56524212252678,0.2152449377760272,1879.8419014375158,1.073317665772054
lng,,,,fossil,India,1,2024,74.02574040704667,1094.6636024085744,1168.689342815621,0.7909891245215155,43.369031669780384,0.0587960453816087,14.831593407134172,0.0566399999999999,10.59373146967094,0.0364459082015484,1237.4836993622068,0.9428710781046724
lng,,,,fossil,Indonesia,1,2024,67.3341480538673,1743.613384993876,1810.9475330477433,0.7884465813326265,21.19081700585028,0.0287287077985997,9.929302477675712,0.05168,7.786346387408373,0.0267875834377514,1849.8539989186777,0.8956428725689776
lng,,,,fossil,South Korea,1,2024,78.62621014985747,1239.4037225051404,1318.029932654998,0.7789325487548489,10.383993350619884,0.0140777352128614,14.241918421136855,0.03312,17.624287275172158,0.0606333243378496,1360.280131701927,0.8867636083055599
lng,,,,fossil,China,1,2024,76.53508753948893,1087.2821834420522,1163.8172709815412,0.784919827877071,117.07828218326276,0.1587247795814752,12.189952505681092,0.0448,14.848698549059618,0.0510843894600154,1307.9342042195447,1.0395289969185617
lng,,,,fossil,United Arab Emirates,1,2024,79.88088371607861,89.97499756073945,169.85588127681808,0.7776612771604043,15.525975735670064,0.0210487976973739,13.84109797041032,0.03064,22.944322992857888,0.0789359907732634,222.16727797575635,0.9082860656310416
lng,,,,fossil,United States,1,2024,83.644904414742,681.2532320909016,764.8981365056436,0.7777022859215155,115.88348476726244,0.1571049748408973,17.038636618230697,0.03072,52.95862996936256,0.1821950435376774,950.7788878604993,1.1477223043000901
lng,,,,fossil,Turkey,1,2024,76.53508753948893,607.6665458392329,684.2016333787218,0.7812290393770711,14.367053340775968,0.0194776292598864,16.749952505681094,0.0376,37.32981905913191,0.1284268118844242,752.6484582843108,0.9667334805213816
lng,,,,fossil,Australia,1,2024,85.73602702511054,897.0667052486705,982.802732273781,0.7845917577881821,117.82066045617007,0.1597312329179604,24.130602533686467,0.04416,11.901612906537595,0.0409454489840402,1136.6556081701751,1.0294284396901827
