,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
e-hydrogen (liquefied),3975,3868,3757.7,3640.6,3518.3,3390.9,3258.6,3121.3,3084,3038.8,2985.9,2925.3,2856.9,2793.1,2724,2649.8,2570.5,2486.1,2417.8,2346.7,2272.8,2196,2116.4,2047.1,1976.4,1904.5,1831.1,1756.5
e-hydrogen (compressed),3458.3,3358.1,3254.6,3149,3038.2,2922.3,2801.5,2675.7,2643.9,2604.3,2556.9,2501.8,2439,2379.6,2315,2245.3,2170.5,2090.6,2024.1,1954.8,1882.7,1807.7,1729.9,1661.9,1592.7,1522,1450.1,1376.8
e-ammonia,960.1,909.5,858.3,806.1,753.1,699.1,644.3,588.6,581.5,572.9,563,551.7,539.1,527,514.1,500.2,485.4,469.7,456.5,442.9,428.7,414,398.8,385.3,371.7,357.8,343.7,329.3
e-methanol,1315.9,1269.7,1222.8,1174.4,1124.9,1074.5,1023.1,970.8,954.7,937.1,918,897.4,875.4,854.3,832.2,809.2,785.2,760.2,736.6,712.4,687.7,662.4,636.6,612.8,588.7,564.4,539.8,515
e-diesel,3230.1,3111.6,2992.7,2873.2,2752.6,2630.9,2508.1,2384.4,2351.6,2315.2,2275.1,2231.4,2184.1,2138.6,2090.7,2040.4,1987.7,1932.6,1865.6,1797.7,1729.1,1659.7,1589.5,1524.5,1459.5,1394.4,1329.2,1263.9
Blue ammonia,503.1,484,464.9,457.6,450.2,442.8,435.5,428.1,429.7,431.3,432.9,434.5,436.1,434.4,432.7,431,429.3,427.6,426,424.5,422.9,421.3,419.8,418.2,416.7,415.1,413.6,412
