,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
e-hydrogen (liquefied),4886,4790.4,4691.4,4619.8,4542.6,4459.9,4371.6,4277.8,4241,4196,4142.8,4081.4,4012,3941.1,3864.9,3783.2,3696.2,3603.8,3509.2,3412.1,3312.6,3210.7,3106.4,3013.1,2918.9,2823.7,2727.7,2630.6
e-hydrogen (compressed),4240,4149.6,4055.6,3988.8,3916.4,3838.4,3754.9,3665.9,3633.6,3593.1,3544.4,3487.6,3422.7,3356.1,3284.1,3206.8,3124.1,3036,2945.3,2852.3,2756.9,2659.1,2558.8,2469.3,2378.9,2287.6,2195.4,2102.2
e-ammonia,1107,1058.2,1008.8,964,918.1,871.2,823.3,774.5,767.3,758.7,748.6,737.1,724.1,710.8,696.5,681.2,665,647.9,630.2,612.2,593.7,574.8,555.4,538,520.5,502.7,484.8,466.7
e-methanol,1497,1453,1408.4,1369,1328.5,1287,1244.4,1200.8,1184.8,1167.3,1148.2,1127.6,1105.5,1083.1,1059.7,1035.2,1009.8,983.3,954.5,925.3,895.6,865.4,834.8,806.3,777.6,748.7,719.6,690.4
e-diesel,3624.4,3510.6,3396.5,3296.6,3195.2,3092.6,2988.7,2883.4,2850.5,2813.7,2773.2,2728.7,2680.5,2631.6,2580.2,2526.2,2469.7,2410.7,2331.8,2252.3,2172.2,2091.5,2010.2,1934.6,1859,1783.7,1708.4,1633.2
Blue ammonia,510.2,491.2,472.2,465.2,458.2,451.2,444.1,437.1,438.8,440.5,442.2,443.9,445.6,444,442.3,440.6,439,437.3,435.7,434,432.3,430.7,429,427.4,425.7,424.1,422.4,420.7
