,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
e-hydrogen (liquefied),3996,3833.9,3668.7,3564.4,3455,3340.5,3220.9,3096.3,3050.2,2996.3,2934.8,2865.7,2789.1,2732.8,2671.3,2604.5,2532.5,2455.2,2370.1,2282.5,2192.4,2099.8,2004.7,1932,1857.9,1782.6,1705.9,1628
e-hydrogen (compressed),3476.3,3328.9,3178.3,3083.7,2983.9,2879.1,2769.2,2654.3,2615,2568,2513.3,2451,2381.2,2328.3,2270.2,2206.9,2138.3,2064.5,1983.8,1900.7,1815.1,1727,1636.4,1565.7,1493.8,1420.5,1346,1270.2
e-ammonia,963.5,904,843.9,793.9,742.9,691,638.2,584.5,576,566.1,554.8,542.2,528.2,517.4,505.7,493,479.4,464.8,448.9,432.7,415.9,398.7,381.1,367.2,353,338.6,324,309.1
e-methanol,1320.1,1262.9,1205.1,1159.2,1112.3,1064.5,1015.6,965.9,948,928.6,907.8,885.6,861.9,842.3,821.7,800.2,777.6,754.1,727,699.5,671.6,643.1,614.2,589.7,564.9,539.9,514.7,489.2
e-diesel,3239.2,3096.8,2954.2,2840.3,2725.2,2609.1,2491.9,2373.6,2337,2296.9,2253.1,2205.8,2154.9,2112.8,2068.1,2021,1971.4,1919.4,1845.2,1770.3,1694.9,1618.8,1542,1475.7,1409.3,1342.8,1276.3,1209.7
Blue ammonia,837.6,733.5,629.4,580.7,532,483.3,434.6,385.9,384.1,382.3,380.5,378.6,376.8,375.1,373.5,371.8,370.2,368.5,366.8,365.1,363.4,361.6,359.9,358.3,356.7,355.1,353.5,352
