,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
e-hydrogen (liquefied),5484.4,5341.5,5195,5082.3,4964,4840.1,4710.8,4576.2,4503.6,4423.2,4334.9,4238.9,4135.1,4035.2,3930.3,3820.4,3705.5,3585.8,3468.3,3349,3227.7,3104.5,2979.3,2868.7,2757.6,2645.8,2533.3,2420.2
e-hydrogen (compressed),4753.6,4622.3,4487.6,4385.4,4277.6,4164.2,4045.5,3921.3,3858.2,3787.2,3708.4,3621.8,3527.6,3436.1,3339.7,3238.3,3131.9,3020.7,2910.9,2799.1,2685.5,2569.9,2452.4,2348.7,2244.3,2139.4,2033.8,1927.6
e-ammonia,1203.5,1147.1,1090,1038.5,985.9,932.4,877.9,822.5,809.5,795.2,779.5,762.3,743.8,725.8,706.9,687.2,666.5,645,623.7,602.2,580.2,557.9,535.3,515.2,495,474.7,454.2,433.7
e-methanol,1615.9,1562.5,1508.5,1460.9,1412.3,1362.6,1311.9,1260.2,1237.1,1212.5,1186.5,1159,1130,1101.8,1072.7,1042.6,1011.6,979.7,946.4,912.7,878.6,844.1,809.3,777.3,745.2,713,680.6,648.2
e-diesel,3883.4,3749,3614.3,3496.5,3377.3,3256.8,3135.1,3012.2,2963.7,2911.6,2855.9,2796.5,2733.5,2672,2608.3,2542.1,2473.7,2403,2314.3,2225.3,2136,2046.3,1956.2,1873.3,1790.7,1708.3,1626.2,1544.3
Blue ammonia,849.1,745.2,641.3,592.5,543.8,495,446.2,397.5,395.5,393.6,391.7,389.8,387.8,385.9,384,382.1,380.2,378.3,376.5,374.6,372.8,370.9,369,367.2,365.4,363.5,361.7,359.8
