,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
e-hydrogen (liquefied),5894.9,5735.6,5572.7,5445.7,5313.1,5175,5031.4,4882.3,4796.7,4703.2,4601.9,4493,4376.4,4265.4,4149.5,4028.7,3903,3772.6,3645.5,3516.8,3386.3,3254,3120,3002.1,2883.7,2764.8,2645.4,2525.4
e-hydrogen (compressed),5105.8,4960.5,4811.6,4697.1,4576.9,4451.2,4320,4183.4,4108.9,4026.5,3936.4,3838.5,3733,3631.9,3525.9,3415,3299.2,3178.7,3060.5,2940.5,2818.8,2695.4,2570.2,2460.1,2349.5,2238.5,2127,2014.9
e-ammonia,1269.7,1210.7,1150.9,1097.1,1042.2,986.3,929.5,871.7,856.6,840.2,822.3,803.1,782.4,762.7,742,720.4,698,674.8,651.9,628.8,605.4,581.6,557.6,536.3,514.9,493.4,471.9,450.2
e-methanol,1697.5,1640.8,1583.6,1533.1,1481.7,1429.2,1375.6,1321,1295.4,1268.2,1239.6,1209.5,1178,1147.7,1116.4,1084.2,1051,1017,981.8,946.2,910.3,874.1,837.5,804,770.5,736.9,703.1,669.3
e-diesel,4061,3919.5,3777.7,3653.6,3528.2,3401.5,3273.5,3144.3,3090.1,3032.3,2970.8,2905.8,2837.2,2770.9,2702.3,2631.4,2558.3,2482.9,2390,2296.9,2203.5,2109.9,2015.9,1929.9,1844.1,1758.7,1673.6,1588.7
Blue ammonia,989.5,865.9,742.3,710.7,679.2,647.7,616.2,584.6,582.6,580.6,578.6,576.6,574.6,572.6,570.7,568.7,566.7,564.8,562.9,560.9,559,557.1,555.1,553.3,551.4,549.5,547.6,545.7
