,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
e-hydrogen (liquefied),4710.4,4519.3,4324.9,4181.7,4033.3,3879.8,3721.3,3557.8,3513,3460.3,3399.8,3331.5,3255.5,3193.7,3126.7,3054.3,2976.6,2893.7,2807,2717.8,2626.1,2531.9,2435.2,2353.6,2270.8,2186.9,2101.9,2015.7
e-hydrogen (compressed),4089.4,3916.9,3741.2,3613.1,3479.7,3341.3,3197.8,3049.4,3010.8,2964.4,2910.2,2848.2,2778.4,2720.4,2657,2588.4,2514.5,2435.3,2352.6,2267.4,2179.7,2089.5,1996.8,1918.1,1838.2,1757.3,1675.2,1591.9
e-ammonia,1078.7,1014.5,949.7,893.4,836,777.8,718.7,658.7,650.4,640.6,629.4,616.9,602.9,591.2,578.5,564.8,550.2,534.7,518.5,501.8,484.8,467.2,449.2,433.8,418.2,402.3,386.3,370.1
e-methanol,1462.1,1399.1,1335.6,1281.9,1227.3,1171.7,1115.1,1057.6,1040,1020.9,1000.3,978.3,954.8,934.1,912.5,889.9,866.2,841.6,814.3,786.5,758.3,729.6,700.4,674.2,647.7,621,594.1,567
e-diesel,3548.4,3393.3,3238,3107.2,2975.2,2842,2707.9,2572.7,2536.6,2496.8,2453.3,2406.2,2355.4,2310.7,2263.5,2213.8,2161.6,2107,2031.8,1956.1,1879.7,1802.6,1725,1654.6,1584.3,1514,1443.7,1373.4
Blue ammonia,980.3,856.4,732.5,700.9,669.2,637.6,606,574.3,572.6,570.8,569,567.2,565.4,563.8,562.1,560.4,558.8,557.1,555.5,553.8,552.1,550.4,548.7,547.1,545.5,543.9,542.2,540.6
