,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
e-hydrogen (liquefied),5757.4,5336.9,4913.5,4746.5,4574.1,4396.7,4214.1,4026.6,3936.4,3838.7,3733.5,3621,3501.3,3420.4,3334.5,3243.4,3147.3,3046.1,2940.9,2833.6,2724.2,2612.6,2498.9,2416,2331.9,2246.7,2160.5,2073.1
e-hydrogen (compressed),4987.8,4618.4,4246.1,4097.4,3943.4,3784.2,3620,3450.8,3373,3287.7,3195.1,3095,2987.7,2913.2,2833.6,2748.8,2659.1,2564.2,2465.7,2365,2262.2,2157.3,2050.2,1970.2,1889.2,1807.1,1723.9,1639.5
e-ammonia,1247.6,1146.4,1044.6,984.4,923.2,861,798,734.1,718.4,701.4,683,663.3,642.3,627.4,611.7,595,577.4,559,539.8,520.2,500.3,480,459.3,443.6,427.8,411.8,395.5,379.1
e-methanol,1670.1,1561.6,1452.5,1394.2,1334.8,1274.4,1213.1,1150.9,1124.2,1096.2,1066.8,1035.9,1003.7,979.3,953.9,927.6,900.3,872,841,809.7,777.9,745.7,713.2,686.6,659.9,633,605.9,578.5
e-diesel,4001.5,3747.1,3492.6,3351.3,3208.9,3065.3,2920.7,2775,2719.2,2659.8,2597,2530.7,2461,2408,2352.6,2294.8,2234.7,2172.2,2089,2005.5,1921.4,1837,1752,1681.1,1610.2,1539.3,1468.5,1397.7
Blue ammonia,963.2,857.2,751.1,702.5,653.9,605.2,556.6,508,505.9,503.8,501.7,499.5,497.4,495.6,493.8,492.1,490.3,488.5,486.6,484.8,483,481.2,479.3,477.7,476.1,474.5,472.8,471.2
