,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
e-hydrogen (liquefied),5573.5,5449,5320.9,5223.1,5119.6,5010.4,4895.7,4775.5,4713.8,4644.1,4566.3,4480.6,4386.9,4294.5,4196.8,4093.9,3985.9,3872.8,3759.2,3643.5,3525.9,3406.1,3284.3,3176,3066.9,2957.2,2846.9,2735.8
e-hydrogen (compressed),4830,4714.6,4595.6,4506.1,4410.9,4310.2,4203.8,4092,4038,3976,3906,3828,3742,3656.6,3566.1,3470.3,3369.5,3263.5,3156.4,3047.3,2936.2,2823,2707.8,2605.4,2502.4,2398.8,2294.5,2189.5
e-ammonia,1217.9,1164.4,1110.3,1061.2,1011,959.8,907.7,854.5,843.3,830.7,816.6,801.1,784.1,767.3,749.6,730.9,711.3,690.7,670,649,627.5,605.8,583.6,563.8,543.8,523.8,503.6,483.3
e-methanol,1633.6,1583.9,1533.5,1488.9,1443.2,1396.4,1348.6,1299.8,1278.9,1256.5,1232.5,1207.1,1180.1,1153.5,1125.8,1097.2,1067.6,1037,1004.4,971.5,938.2,904.5,870.4,838.9,807.2,775.4,743.5,711.5
e-diesel,3922,3795.6,3668.8,3557.4,3444.6,3330.4,3214.9,3098.2,3054.4,3006.8,2955.5,2900.5,2841.7,2783.4,2722.6,2659.4,2593.8,2525.8,2438.6,2351,2263,2174.6,2085.8,2003.7,1921.8,1840.2,1758.8,1677.6
Blue ammonia,987,863.6,740.3,709,677.7,646.4,615.1,583.8,582,580.2,578.3,576.5,574.7,572.9,571.1,569.3,567.5,565.6,563.9,562.1,560.3,558.5,556.7,554.9,553.1,551.4,549.6,547.8
